study_id,include,author_year,bibtype,abstract,author,isbn,journal,keywords,pages,title,url,volume,year,number,annote,doi,edition,language,pmid,round1inc,round1rev,round2inc,round2rev,reviewers,ft_rev,downloaded,csv_name,reason,notes,mex_name,in_codes_db,article_type



1098-660x

mina, neil v

burdz, tamara

wiebe, deborah

rai, jagtar s

rahim, tazim

shing, fern

hoang, linda

bernard, kathryn

case reports

journal article

united states

j clin microbiol. 2011 nov;49(11):4003-5. doi: 10.1128/jcm.05296-11. epub 2011 aug 31.",10.1128/jcm.05296-11,9/2/2011,eng,21880960,yes,melanie,yes,nchedo,nchedo,zach,yes,zm_5.csv,NA,NA,zm_5_3.mex,yes,journal
14105,yes,miyamoto2013a,article,"Purpose: We report a case of methicillin-resistant Staphylococcus aureus (MRSA) keratitis after Descemet's stripping automated endothelial keratoplasty (DSAEK). Case Report: An 87-year-old woman who had undergone a DSAEK 4 months previously was referred to Tokushima University Hospital with a diagnosis of infectious keratitis after DSAEK. A white abscess and infiltration in the inferior cornea of the right eye were observed. We started an empiric therapy using topical levofloxacin and chloramphenicol on the basis of the microscopic findings of the corneal scraping concurrently with cultivation of the cornea. Results: A strain of MRSA was isolated from the corneal sample. Although the strain was susceptible to chloramphenicol, it was resistant to quinolone. The keratitis improved rapidly due to empiric therapy, and topical steroids could be resumed 6 days after initiation of the empiric therapy. Conclusions: To our knowledge, this is the first case of MRSA keratitis, and the second case of bacterial keratitis, after DSAEK. MRSA keratitis can occur following uneventful DSAEK. The empiric therapy on the basis of results from a light microscopic examination of a Gram-stained corneal scraping and restarting topical steroids in the early stages of medication contributed to the good clinical course of this case. {\textcopyright} 2013 S. Karger AG, Basel.",T Miyamoto and H Eguchi and E Tserennadmid and S Mitamura-Aizawa and F Hotta and Y Mitamura,1663-2699,Case Reports in Ophthalmology,",Descemet stripping endothelial keratoplasty,abscess,aged,anamnesis,anterior eye segment,antibiotic resistance,antibiotic sensitivity,article,bacterial keratitis,bacterial strain,bacterium culture,bacterium detection,bacterium identification,bacterium isolate,case report,cell density,chloramphenicol,conjunctival hyperemia,cornea abscess,cornea endothelium,corneal scraping,cravit,drug withdrawal,endothelium cell,eye biopsy,eye infection,female,gatiflo,gatifloxacin,graft survival,human,human cell,human tissue,inflammatory infiltrate,keratitis,levofloxacin,methicillin resistant Staphylococcus aureus infect,methicillin susceptible Staphylococcus aureus,minimum inhibitory concentration,ophthalon,optical coherence tomography,priority journal,quinoline derived antiinfective agent,repeated drug dose,slit lamp,steroid,treatment duration,unclassified drug,very elderly,visual acuity",269--273,{Methicillin-resistant staphylococcus aureus keratitis after descemet's stripping automated endothelial keratoplasty},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l603694942 http://dx.doi.org/10.1159/000357170 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=16632699{\&}id=doi:10.1159{\%}2f000357170{\&}atitle=methicillin-resistant+staphylo http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l372203856,4,2013,3,NA,NA,NA,NA,NA,maybe,cale,no,mushtaq,ayomide,zach,yes,zm_5.csv,NA,NA,zm_5_3.mex,yes,journal
14275,yes,montealegre2012,article,"OXA-72 has been reported in few countries around the world. We report the first case in Colombia in an Acinetobacter pittii clinical isolate. The arrival of a new OXA, into a country with high endemic resistance, poses a significant threat, especially because the potential for widespread dissemination is considerable. Copyright {\textcopyright} 2012, American Society for Microbiology. All Rights Reserved.",M C Montealegre and J J Maya and A Correa and P Espinal and M F Mojica and S J Ruiz and F Rosso and J Vila and J P Quinn and M V Villegas,"0066-4804
1098-6596",Antimicrobial Agents and Chemotherapy,"Acinetobacter,Acinetobacter pittii,Colombia,Moraxellaceae,OXA 72,aged,amikacin,antibiotic resistance,antibiotic sensitivity,article,aztreonam,bacterial enzyme,carbapenemase,case report,cefepime,cefotaxime,ceftazidime,ceftriaxone,ciprofloxacin,female,fever,hepatitis,human,kidney transplantation,meropenem,morbidity,multiple organ failure,nonhuman,piperacillin plus tazobactam,polymyxin B,priority journal,sepsis,soft tissue infection,unclassified drug,vancomycin",3996--3998,{First identification of OXA-72 carbapenemase from Acinetobacter pittii in Colombia},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l365041520 http://dx.doi.org/10.1128/aac.05628-11 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=00664804{\&}id=doi:10.1128{\%}2faac.05628-11{\&}atitle=first+identification+of+,56,2012,7,NA,NA,NA,NA,NA,yes,cale,no,mushtaq,brooke,zach,yes,zm_5.csv,NA,NA,zm_5_3.mex,yes,journal
14278,maybe,montelione2016,article,"A 62-year-old man presented with fever, abdominal pain, and malaise 13 months after emergency endovascular aortic repair. Computed tomographic angiograms showed a periprosthetic fluid and gas collection, so infection was diagnosed. Open conversion was performed, involving endograft explantation and in situ aortic reconstruction. Cultures and the explanted prosthesis were positive for carbapenemase-producing Klebsiella pneumoniae, resistant to colistin. Because of the sparse data on endograft infections caused by this pathogen, we placed the patient on an empiric double-carbapenem regimen for 4 weeks. Symptomatic recovery occurred after 21 days. On the 30th day, we deployed a stent to treat a new pseudoaneurysm. Three years later, the patient had no signs of persistent or recurrent infection. We think that this is the first report of aortic endograft infection caused by colistin-resistant, carbapenemase-producing K. pneumoniae.",N Montelione and D Menna and P Sirignano and L Capoccia and W Mansour and F Speziale,"1526-6702

0730-2347",Texas Heart Institute Journal,"C reactive protein,EXCLUDER,GORE,Klebsiella pneumoniae,Klebsiella pneumoniae infection,Zenith,abdominal aorta aneurysm,abdominal pain,adult,anemia,antibiotic resistance,aorta reconstruction,aortic endograft infection,article,carbapenemase,case report,central venous catheter,colistin,computed tomographic angiography,conversion to open surgery,endovascular aneurysm repair,ertapenem,erythrocyte sedimentation rate,esophagogastroduodenoscopy,explant,false aneurysm,fever,fosfomycin,graft infection,hemoglobin,human,laparotomy,leukocytosis,low back pain,malaise,male,meropenem,middle aged,neutrophilia,tigecycline",453--457,"{Open conversion after aortic endograft infection: Caused by colistin-resistant, carbapenemase-producing Klebsiella pneumoniae}",http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l612815646 http://dx.doi.org/10.14503/thij-15-5265 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=15266702{\&}id=doi:10.14503{\%}2fthij-15-5265{\&}atitle=open+conversion+after+,43,2016,5,NA,NA,NA,NA,NA,yes,jake,no,erica,zach,zach,yes,zm_5.csv,NA,NA,zm_5_3.mex,yes,journal
14660,yes,mustafa2016,article,"Pseudomonas aeruginosa is a major cause of morbidity and mortality in cystic fibrosis patients. This study compared the antimicrobial susceptibilities of 153 P. aeruginosa isolates from the United Kingdom (UK) (n = 58), Belgium (n = 44), and Germany (n=51) collected from 118 patients during routine visits over the period from 2006 to 2012. MICs were measured by broth microdilution. Genes encoding extended-spectrum $\beta$-lactamases (ESBL), metallo-$\beta$-lactamases, and carbapenemases were detected by PCR. Pulsed-field gel electrophoresis and multilocus sequence typing were performed on isolates resistant toâ¥3 antibiotic classes among the penicillins/cephalosporins, carbapenems, fluoroquinolones, aminoglycosides, and polymyxins. Based on EUCAST/CLSI breakpoints, susceptibility rates wereâ¥30{\%}/â¥40{\%} (penicillins, ceftazidime, amikacin, and ciprofloxacin), 44 to 48{\%}/48 to 63{\%} (carbapenems), 72{\%}/72{\%} (tobramycin), and 92{\%}/78{\%} (colistin) independent of patient age. Sixty percent of strains were multidrug resistant (MDR; European Centre for Disease Prevention and Control criteria). Genes encoding the most prevalent ESBL (BEL, PER, GES, VEB, CTX-M, TEM, SHV, and OXA), metallo-$\beta$-lactamases (VIM, IMP, and NDM), or carbapenemases (OXA-48 and KPC) were not detected. The Liverpool epidemic strain (LES) was prevalent in UK isolates only (75{\%} of MDR isolates). Four MDR sequence type 958 (ST958) isolates were found to be spread over the three countries. The other MDR clones were evidenced inâ¥3 isolates and localized in a single country. A new sequence type (ST2254) was discovered in one MDR isolate in Germany. Clonal and nonclonal isolates with different susceptibility profiles were found in 20 patients. Thus, resistance and MDR are highly prevalent in routine isolates from 3 countries, with meropenem, tobramycin, and colistin remaining the most active drugs.",M H Mustafa and H Chalhoub and O Denis and A Deplano and A Vergison and H Rodriguez-Villalobos and M M Tunney and J {Stuart Elborn} and B C Kahl and H Traore and F Vanderbist and P M Tulkens and F {Van Bambeke},"1098-6596
0066-4804",Antimicrobial Agents and Chemotherapy,"Belgium,Germany,Northern European,Pseudomonas aeruginosa,United Kingdom,amikacin,aminoglycoside antibiotic agent,antibiotic resistance,antibiotic sensitivity,article,bacterium isolate,bacterium isolation,beta lactamase CTX M,beta lactamase SHV,broth dilution,carbapenem derivative,carbapenemase,ceftazidime,cephalosporin derivative,cilastatin plus imipenem,ciprofloxacin,clone,colistin,cystic fibrosis,extended spectrum beta lactamase,glazidim,human,imipenem,meronem,meropenem,metallo beta lactamase,minimum inhibitory concentration,morbidity,mortality,multidrug resistance,multilocus sequence typing,nonhuman,penicillin derivative,piperacillin plus tazobactam,polymerase chain reaction,polymyxin,priority journal,pulsed field gel electrophoresis,quinoline derived antiinfective agent,tazocin,ticarcillin,tienam,tobramycin",6735--6741,{Antimicrobial susceptibility of pseudomonas aeruginosa isolated from cystic fibrosis patients in northern Europe},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l613161585 http://dx.doi.org/10.1128/aac.01046-16 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=10986596{\&}id=doi:10.1128{\%}2faac.01046-16{\&}atitle=antimicrobial+susceptibi,60,2016,11,NA,NA,NA,NA,NA,yes,melanie,yes,erica,erica,zach,yes,zm_5.csv,NA,NA,zm_5_3.mex,yes,journal
14966,yes,neonakis2011,article,NA,I K Neonakis and K Stylianou and E Daphnis and S Maraki,"0255-0857
1998-3646",Indian Journal of Medical Microbiology,",*Drug Resistance,Acinetobacter baumannii,Anti-Bacterial Agents/*pharmacology,Bacterial,Europe,Female,Hospitals,Humans,Klebsiella Infections/*microbiology,Klebsiella pneumoniae,Klebsiella pneumoniae/*drug effects/isolation {\&} pu,Microbial Sensitivity Tests,Middle Aged,Minocycline/*analogs {\&} derivatives/pharmacology,Pseudomonas aeruginosa,University,adult,ampulla of Vater,antibiotic resistance,bacterium isolation,case report,cholangitis,cholecystectomy,colistin,disease association,drug efficacy,endoscopic sphincterotomy,epsilometer test,female,gentamicin,hemodialysis,hospital admission,human,hypertension,hysterectomy,imipenem,kidney failure,kidney polycystic disease,kidney transplantation,letter,liver transplantation,medical history,nephrectomy,nonhuman,tigecycline,treatment response,university hospital",78--79,{First case of resistance to tigecycline by Klebsiella pneumoniae in a European University Hospital},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l361324359 http://dx.doi.org/10.4103/0255-0857.76535 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=02550857{\&}id=doi:10.4103{\%}2f0255-0857.76535{\&}atitle=first+case+of+resi,29,2011,1,"from duplicate 1 (first case of resistance to tigecycline by klebsiella pneumoniae in a european university hospital - neonakis, i k; stylianou, k; daphnis, e; maraki, s)

1998-3646
neonakis, i k
stylianou, k
daphnis, e
maraki, s
case reports
letter
india
indian j med microbiol. 2011 jan-mar;29(1):78-9. doi: 10.4103/0255-0857.76535.",10.4103/0255-0857.76535,2/10/2011,eng,21304206,yes,erica,yes,ayomide,ayomide,zach,yes,zm_5.csv,NA,NA,zm_5_3.mex,yes,journal
15286,maybe,ntirenganya2015,article,"Antimicrobial resistance (AMR) is a serious public health threat in both developed and developing countries. Many developing countries, including Rwanda, lack adequate surveillance systems, and therefore, the prevalence of AMR is not well-known. We conducted a prospective observational study to assess the prevalence of AMR among common bacterial isolates from clinical specimens obtained from patients on the medical wards of Kigali University Teaching Hospital (KUTH). We evaluated the antibiotic sensitivity patterns of bacterial pathogens cultured from urine, blood, sputum, and wound swab specimens obtained over a 6-month period (July 1 to December 30, 2013). There were 154 positive cultures from specimens obtained from 141 unique patients over the study period. Urine, blood, wound swab, and sputum cultures comprised 55.2{\%}, 25.3{\%}, 16.2{\%}, and 3.3{\%} of the total specimens evaluated; 31.4{\%} and 58.7{\%} of Escherichia coli and Klebsiella isolates, respectively, were resistant to at least one of the third generation cephalosporins. Eight percent of E. coli isolates were resistant to imipenem; 82{\%} and 6{\%} of Staphylococcus aureus strains were oxacillin- and vancomycin-resistant respectively. Antimicrobial resistance rates are high in Rwanda and pose a serious therapeutic challenge to the management of common infections.",C Ntirenganya and O Manzi and C M Muvunyi and O Ogbuagu,0002-9637,Am J Trop Med Hyg,"*Drug Resistance, Bacterial,Adolescent,Adult,Aged,Aged, 80 and over,Anti-Infective Agents/*pharmacology,Escherichia coli Infections/drug therapy/*epidemio,Escherichia coli/drug effects/*isolation {\&} purific,Female,Humans,Male,Microbial Sensitivity Tests,Middle Aged,Prevalence,Prospective Studies,Rwanda/epidemiology,Staphylococcal Infections/drug therapy/*epidemiolo,Staphylococcus aureus/drug effects/*isolation {\&} pu,Tertiary Healthcare,Young Adult",865--870,{High prevalence of antimicrobial resistance among common bacterial isolates in a tertiary healthcare facility in Rwanda},NA,92,2015,4,"1476-1645
ntirenganya, cyprien
manzi, olivier
muvunyi, claude mambo
ogbuagu, onyema
journal article
observational study
research support, non-u.s. gov't
united states
am j trop med hyg. 2015 apr;92(4):865-70. doi: 10.4269/ajtmh.14-0607. epub 2015 feb 2.",10.4269/ajtmh.14-0607,2/4/2015,eng,25646259,maybe,cale,no,brooke,mushtaq,zach,yes,zm_5.csv,NA,NA,zm_5_3.mex,yes,journal
15431,maybe,oikonomou2015,article,"BACKGROUND: Colistin-resistant/carbapenem-resistant Acinetobacter baumannii is a significant challenge for antibiotic treatment and infection control policies. Since 2012, in Central Greece an increase of colistin/pan- resistant A. baumannii has occurred, indicating the need for further analysis. METHODS: A total of 86 colistin-resistant/carbapenem-resistant out of 1228 A. baumannii clinical isolates, consecutively collected between 2012 and 2014 in a tertiary Greek hospital of Central Greece, as well as one environmental isolate from surveillance cultures were studied. Molecular typing and mechanisms of resistance to colistin and to carbapenems were assessed, whereas, epidemiological and clinical data of the patients were reviewed. RESULTS: During the study period, the rate of colistin resistance gradually increased and reached 21.1 {\%} in 2014. All colistin-resistant/carbapenem-resistant A. baumannii belonged to 3LST ST101 clone that corresponds to the international clonal lineage II. Carbapenem resistance was associated with the presence of bla oxa-23-like, while resistance to colistin probably correlated with G54E and R109H amino acid substitutions in PmrA and PmrC, respectively. CONCLUSIONS: Epidemiological data of the patients indicated that the first detection of colistin-resistant/carbapenem-resistant ST101 clone in the University Hospital of Larissa (UHL) was associated with a patient who previously had received colistin, while, the movement of the infected patients into the hospital probably resulted to its spread.",O Oikonomou and S Sarrou and C C Papagiannitsis and S Georgiadou and K Mantzarlis and E Zakynthinos and G N Dalekos and E Petinaki,1471-2334,BMC Infectious Diseases,",Acinetobacter Infections/epidemiology/microbiology,Acinetobacter baumannii,Acinetobacter baumannii/*drug effects/isolation {\&},Acinetobacter infection,Aged,Anti-Bacterial Agents/*pharmacology,Bacterial/drug effects,Carbapenems/*pharmacology,Colistin/*pharmacology,DNA extraction,Drug Resistance,Electrophoresis,Female,Gel,Greece,Greece/epidemiology,Hospitals,Humans,IpxA gene,IpxD gene,Male,Microbial Sensitivity Tests,Middle Aged,Molecular Typing,Multiple,Pulsed-Field,aged,amino acid substitution,aminoglycoside antibiotic agent,antibiotic resistance,antibiotic sensitivity,article,bacterial gene,bacterial protein,bacterial strain,bacterium identification,bacterium isolate,blood culture,bloodstream infection,brain ventriculitis,carbapenem,chronic kidney failure,chronic liver disease,chronic lung disease,colistin,comorbidity,controlled study,daptomycin,diabetes mellitus,disease surveillance,epidemic,female,fever,fosfomycin,gene mutation,heart disease,human,major clinical study,male,minimum inhibitory concentration,molecular typing,neurologic disease,pmrCAB gene,pneumonia,polymerase chain reaction,prevalence,protein PmrA,protein PmrC,pyelonephritis,quinoline derived antiinfective agent,tigecycline,unclassified drug,ventilator associated pneumonia",559,"{Rapid dissemination of colistin and carbapenem resistant Acinetobacter baumannii in Central Greece: mechanisms of resistance, molecular identification and epidemiological data}",http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l607201359 http://dx.doi.org/10.1186/s12879-015-1297-x http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=14712334{\&}id=doi:10.1186{\%}2fs12879-015-1297-x{\&}atitle=rapid+dissemin,15,2015,1,"from duplicate 2 (rapid dissemination of colistin and carbapenem resistant acinetobacter baumannii in central greece: mechanisms of resistance, molecular identification and epidemiological data - oikonomou, o; sarrou, s; papagiannitsis, c c; georgiadou, s; mantzarlis, k; zakynthinos, e; dalekos, g n; petinaki, e)

1471-2334
oikonomou, o
sarrou, s
papagiannitsis, c c
georgiadou, s
mantzarlis, k
zakynthinos, e
dalekos, g n
petinaki, e
journal article
england
bmc infect dis. 2015 dec 9;15:559. doi: 10.1186/s12879-015-1297-x.",10.1186/s12879-015-1297-x,12/15/2015,eng,26653099,yes,erica,maybe,mushtaq,mushtaq,zach,yes,zm_5.csv,NA,NA,zm_5_3.mex,yes,journal
15484,yes,oldenburg2013,article,"PURPOSE: To describe temporal trends in Pseudomonas aeruginosa resistance to moxifloxacin in keratitis isolates from South India. METHODS: The Steroids for Corneal Ulcers Trial (SCUT) was a randomized, double-masked, placebo-controlled trial assessing outcomes in patients with culture positive bacterial corneal ulcers randomized to receive prednisolone phosphate or placebo. All patients received moxifloxacin, and susceptibility to moxifloxacin was measured at baseline using Etest. We investigated trends in moxifloxacin susceptibility of P. aeruginosa during 2007, 2008, and 2009 isolated in SCUT in South India. RESULTS: There were 89 P. aeruginosa isolates during 2007, 2008, and 2009 in SCUT that were eligible for this study. There was an increase in the proportion of resistant isolates from 19{\%} in 2007 to 52{\%} in 2009 (p = 0.02, chi(2) test for trend). Logistic regression showed that there was a 2-fold increase in odds of resistance per 1 year increase during the study period (odds ratio 2.16, 95{\%} confidence interval 1.09-4.26, p = 0.027). CONCLUSIONS: We found a sharp increase in the proportion of isolates that were resistant to moxifloxacin from 2007 to 2009. Further work needs to be done to characterize the nature of this increase.",C E Oldenburg and P Lalitha and M Srinivasan and R Rajaraman and M Ravindran and J Mascarenhas and D S Borkar and K J Ray and M E Zegans and S D McLeod and T C Porco and T M Lietman and N R Acharya,0928-6586,Ophthalmic Epidemiol,"*Communicable Diseases, Emerging,*Drug Resistance, Bacterial,Anti-Bacterial Agents/*therapeutic use,Aza Compounds/*therapeutic use,Cornea/microbiology,Corneal Ulcer/drug therapy/*microbiology,Double-Blind Method,Drug Therapy, Combination,Eye Infections, Bacterial/drug therapy/*microbiolo,Fluoroquinolones,Glucocorticoids/therapeutic use,Humans,India,Microbial Sensitivity Tests,Prednisolone/analogs {\&} derivatives/therapeutic use,Pseudomonas Infections/drug therapy/*microbiology,Pseudomonas aeruginosa/drug effects/*isolation {\&} p,Quinolines/*therapeutic use",155--158,{Emerging moxifloxacin resistance in Pseudomonas aeruginosa keratitis isolates in South India},NA,20,2013,3,"1744-5086

oldenburg, catherine e

lalitha, prajna

srinivasan, muthiah

rajaraman, revathi

ravindran, meenakshi

mascarenhas, jeena

borkar, durga s

ray, kathryn j

zegans, michael e

mcleod, stephen d

porco, travis c

lietman, thomas m

acharya, nisha r

u10 ey015114/ey/nei nih hhs/united states

t32 ai007535/ai/niaid nih hhs/united states

t32ai007535/ai/niaid nih hhs/united states

k23ey017897/ey/nei nih hhs/united states

ey02162/ey/nei nih hhs/united states

k23 ey017897/ey/nei nih hhs/united states

p30 ey002162/ey/nei nih hhs/united states

journal article

randomized controlled trial

research support, n.i.h., extramural

research support, non-u.s. gov't

england

ophthalmic epidemiol. 2013 jun;20(3):155-8. doi: 10.3109/09286586.2013.790978. epub 2013 may 10.",10.3109/09286586.2013.790978,5/15/2013,eng,23662986,maybe,erica,yes,nchedo,nchedo,zach,yes,zm_5.csv,NA,NA,zm_5_3.mex,yes,journal
15524,maybe,olson2007,article,"A 48-year-old immunocompetent man without known exposure to tuberculosis had a {\textgreater} 10-year history of recurrent skin lesions. Cutaneous tuberculosis without any current or past history of pulmonary tuberculosis was diagnosed. Culture of biopsy specimens showed the organism to be resistant to multiple first-line and second-line agents. The patient had a broad, vigorous CD4-specific immune response against multiple tuberculosis antigens. This case is the first report of cutaneous extensively drug-resistant tuberculosis.",D P Olson and C L Day and N P Magula and F Sahid and M Y Moosa,"0002-9637 (print)

0002-9637",Am J Trop Med Hyg,"*Drug Resistance, Multiple, Bacterial,Antitubercular Agents/*pharmacology,Directly Observed Therapy,Humans,Male,Middle Aged,Tuberculosis, Cutaneous/*microbiology",551--554,{Cutaneous extensively drug-resistant tuberculosis},NA,77,2007,3,"olson, douglas p

day, cheryl l

magula, nombulelo p

sahid, faieza

moosa, mahomed-yunus s

case reports

journal article

research support, non-u.s. gov't

united states

am j trop med hyg. 2007 sep;77(3):551-4.",NA,9/11/2007,eng,17827377,maybe,brooke,no,mushtaq,zach,zach,yes,zm_5.csv,NA,NA,zm_5_3.mex,yes,journal
15742,yes,padmavathy2016,article,"Extended Spectrum $\beta$-Lactamases (ESBLs) confer resistance to third-generation cephalosporins and CTX-M types have emerged as the most prominent ESBLs worldwide. This study was designed to determine the prevalence of CTX-M positive ESBL-producing urinary E. coli isolates from HIV patients and to establish the association of multidrug resistance, phylogeny, and virulence profile with CTX-M production. A total of 57 ESBL producers identified among 76 E. coli strains isolated from HIV patients from South India were screened for b l a C T X - M, AmpC production, multidrug resistance, and nine virulence associated genes (VAGs), fimH, pap, afa/dra, sfa/foc, iutA, fyuA, iroN, usp, and kpsMII. The majority (70.2{\%}) of the ESBL producers harbored b l a C T X - M and were AmpC coproducers. Among the CTX-M producers, 47.5{\%} were found to be UPEC, 10{\%} harbored as many as 7 VAGs, and 45{\%} possessed kpsMII. Multidrug resistance (CIPRSXTRGENR) was significantly more common among the CTX-M producers compared to the nonproducers (70{\%} versus 41.2{\%}). However, 71.4{\%} of the multidrug resistant CTX-M producers exhibited susceptibility to nitrofurantoin thereby making it an effective alternative to cephalosporins/fluoroquinolones. The emergence of CTX-M-producing highly virulent, multidrug resistant uropathogenic E. coli is of significant public health concern in countries like India with a high burden of HIV/AIDS.",K Padmavathy and K Padma and S Rajasekaran,"2090-3065
