study_id,segment,code_main_cat,code_main,code_identifiers
15652,fast-track communication,exclusion, not full text article,NA
15694,m,exclusion,not clinical case in human patient,NA
15742,"this study was designed to determine the prevalence of ctx-m positive esbl-producing urinary e. coli isolates from hiv patients and to establish the association of multidrug resistance, phylogeny, and virulence profile with ctx-m productio",exclusion, not first case in country,NA
15753,letters to the editor,exclusion, not full text article,NA
15757,table 1. microbiology results demonstrating the variety of organisms expressing multidrug resistance at presentation,exclusion,did not name bacteria treated,NA
15757,patna (north-east india).,location,place traveled to,NA
15757,u.k.,location,country,NA
15758,"though  it is almost endemic to areas of india—with a recent  point-prevalence study estimating bla ndm-1– expressing bacteria in 4% of tap water supply and  30% of seepage sites in new delhi6—it is relatively  new to the united kingdom, with five reported  cases in 2008 rising to 32 cases reported for referencing in 2009.7",exclusion, not first case in country,NA
15758,"though  it is almost endemic to areas of india—with a recent  point-prevalence study estimating bla ndm-1– expressing bacteria in 4% of tap water supply and  30% of seepage sites in new delhi6—it is relatively  new to the united kingdom, with five reported  cases in 2008 rising to 32 cases reported for referencing in 2009.7",NA,references for follow up,NA
15758,"7. kumarasamy kk, toleman ma, walsh tr, et al. emergence  of a new antibiotic resistance mechanism in india, pakistan,  and the uk: a molecular, biological, and epidemiological  study. lancet infect dis 2010;10:597–602.",NA,references for follow up,NA
1577,research letters,exclusion, not full text article,NA
15859,letters,exclusion, not full text article,NA
1588,research letters,exclusion, not full text article,NA
15904,"we characterized a clinical  isolate of vancomycin-resistant, methicillin-susceptible s.  aureus (vr-mssa) and document the in vivo transfer of  the vana gene cluster to 2 unrelated s. aureus strains causing bacteremia within the same patient.",exclusion, not first case in country,NA
15927,"a total of 55,760 specimens were screened for mrsa between april 2008 and december 2010. mrsa was identified in 1,998 specimens, and ciprofloxacin-susceptible (csmrsa) isolates (385/1,998, or 19.3%) were subjected to pvl testing. of these, 70 (18.1%) were identified as pvl-csmrsa.",exclusion, not first case in country,NA
15995,to the editor,exclusion, not full text article,NA
15999,first case of m. xenopi pulmonary disease in korea.,exclusion,did not name antibiotic or antibiotic combo used,NA
16018,e describe the first reported case of endocarditis due to neisseria skkuensis.,exclusion, no resistance or did not name antibiotic/antibiotic,NA
16030,twenty-five-year,exclusion,review article,NA
16082,letters,exclusion, not full text article,NA
16083,research letters,exclusion, not full text article,NA
16120,"here, we describe a fatal case of  endocarditis and disseminated carbapenem-resistant acinetobacter baumannii (crab)  infection in a simultaneous pancreas-kidney transplant recipient. our goal is to highlight the  unappreciated virulence of a. baumannii and difficulties in recognizing and treating  infections caused by crab after organ transplantation.",exclusion, not first case in country,NA
16150,high prevalence of extended-spectrum  β-lactamase-producing pathogens: results of a  surveillance study,exclusion, not first case in country,NA
16195,this is the first report of a clinical mcr-1 isolate in thailand highlighting the urgent need for a comprehensive antimicrobial resistance containment strategy to prevent further spread.,exclusion, not first case in country,NA
16215,mcr-1–positive colistinresistant escheric,exclusion,not clinical case in human patient,NA
16225,2004 lowbury lecture: the western australian experien,exclusion,review article,NA
16249,dispatches,exclusion, not full text article,NA
16252,the,exclusion,review article,NA
16252,the,exclusion,review article,NA
1635,what’s new in antimicrobial use and resistance in critically ill patients?,exclusion,review article,NA
16352,this article reviews the disease burden and the natural history of disease in children with tb,exclusion,review article,NA
16358,extensively,exclusion,not clinical case in human patient,NA
16363,this is the first case report we are aware of on the use of intrabiliary colistine. it describes a new approach to treating cholangitis by mdr bacteria in patients with a ptbd.,exclusion, not first case in country,NA
16371,"his is the first identification in italy of the simultaneous presence of aac(6′)-ib-cr, qnrb1, and blactx-m-15",exclusion, not first case in country,NA
16422,"none of our three patients became infected by the imp-8 c. freundii strains,",exclusion,not clinical case in human patient,NA
16427,"in summary, we found multiple a. baumannii strains at our facility among combat wounded, including two predominant mdr and carbapenem-resistant strains. several strains, including one predominant genotype, belonged to four international clones.",exclusion, not first case in country,NA
16481,his is the first description of a h. influenzae strain harboring the plasmid-encoded gene aac(6¢)-ib-cr,exclusion, not first case in country,NA
16539,letters to the editor,exclusion, not full text article,NA
16603,"the aim of this study was to evaluate the antimicrobial susceptibility profile of 85 staphylococcus epidermidis and 84 staphylococcus haemolyticus strains isolated from blood cultures to oxacillin, vancomycin, tigecycline, linezolid, daptomycin, and quinupristin/dalfopristin over a period of 12 years.",exclusion, not first case in country,NA
16618,feiba,exclusion, no resistance or did not name antibiotic/antibiotic,NA
16657,hort communication,exclusion, not full text article,NA
16682,fluoroquinoloneresistant streptococcus pneumoniae,exclusion, not first case in country,NA
16683,"in this study we show that, in addition to the selection of fq-resistant mutants by fq exposure and consequent spread (isolates gas 784 and 741), horizontal gene transfer may be another mechanism of acquisition of fq resistance in s. pyogenes.",exclusion, not first case in country,NA
1671,outbreak of extensively drug-resistant (xdr) tuberculosis in south africa,exclusion, not first case in country,NA
1671,outbreak of extensively drug-resistant (xdr) tuberculosis in south africa,NA,notes,NA
16714,letters to the editor,exclusion, not full text article,NA
16716,tn125-related acquisition of blandm-like genes in,exclusion,not clinical case in human patient,NA
16716,tn125-related acquisition of blandm-like genes in,exclusion,not clinical case in human patient,NA
16718,research letters,exclusion, not full text article,NA
16719,research letters,exclusion, not full text article,NA
16721,correspondence,exclusion, not full text article,NA
16722,letter to the editor,exclusion, not full text article,NA
16724,"mics of the p. aeruginosa p13 isolate measured by the etest method (ab biodisk, solna, sweden) and interpreted according to clsi standards showed multidrug resistance including resistance to all carbapenems (carbapenem mics of 256 g/ml) (2).",exclusion, no resistance or did not name antibiotic/antibiotic,NA
16725,letter to the edito,exclusion, not full text article,NA
16727,"in addition to being the first to identify ndm-producing isolates in bulgaria, this is the very first study reporting an outbreak of ndm1-producing e. coli in the world.",exclusion, no resistance or did not name antibiotic/antibiotic,NA
16729,letters to the editor,exclusion, not full text article,NA
16752,"we report here on the identification and characterization of a new type of acquired mbl, named fim-1, in a multidrug-resistant clinical isolate of p. aeruginosa from italy",exclusion, not first case in country,NA
16787,letters,exclusion, not full text article,NA
16802,e. coli isolate,exclusion,not clinical case in human patient,NA
16803,letter to the editor,exclusion, not full text article,NA
16816,brief report,exclusion, not full text article,NA
16820,letters to the editor,exclusion, not full text article,NA
16821,letters to the editor,exclusion, not full text article,NA
16822,funding,exclusion,review article,NA
16836,acinetobacter,exclusion,not clinical case in human patient,NA
16838,five-year evaluation,exclusion,review article,NA
16848,"the results of the present study, taken together with previous findings [11], indicate that ctx-mproducing e. coli have already been established in greek hospitals.",exclusion, not first case in country,NA
1688,dear editor,exclusion, not full text article,NA
16896,50 isolates,exclusion,not clinical case in human patient,NA
16914,"in thailand, there has been a report of  ndm-1 and imp-14 carbapenamases from  the northeast region (rimrang et al, 2012)  and one of kpc-13-producing enterobacteriaceae from the central part (netikul et  al, 2014a).",exclusion, not first case in country,NA
16946,". in contrast, strains producing ndm-type enzymes have been rarely reported in italy, usually associated with sporadic cases or small outbreaks.",exclusion, not first case in country,NA
16951,letters,exclusion, not full text article,NA
16973,letters to the edito,exclusion, not full text article,NA
16985,"n our case, p. sputorum was  susceptible to imipenem and resistant to meropenem. this discrepancy has already been described by several authors and is because  of meropenem-hydrolyzing β-lactamases.",exclusion, not first case in country,NA
17038,"high incidence and endemic spread of ndm-1-positive enterobacteriaceae in henan province, china",exclusion, not first case in country,NA
17054,forty-seven vancomycin-resistant enterococcus (vre) strains were isolated from clinical samples in 13 zhejiang hospitals and fecal samples from icu patients in a large teaching hospital in china,exclusion, not first case in country,NA
17078,high clonal diversity in a non-outbreak situation of clinical esbl-producing klebsiella pneumoniae isolates in the first national surveillance program in cuba,exclusion, not first case in country,NA
17078,high clonal diversity in a non-outbreak situation of clinical esbl-producing klebsiella pneumoniae isolates in the first national surveillance program in cuba,NA,first surveillance study (of a particular resistance) in countr,NA
17087,"in the united states, the rates of carbapenem resistance among a. baumannii clinical",exclusion, not first case in country,a
17087,strains range from 33% to 58%,exclusion, not first case in country,a
17160,"] it ubiquitously inhabits hospital environment and  survives in chlorinated water, causing colonization of medical devices such as suction  machines, ventilator tubings, respirators and injectable fluids.[2] its inherent resistance  against many antimicrobial drugs makes it a potential threat in hospital settings as it may  cause outbreaks of neonatal meningitis in premature infants, especially by serotype c",exclusion, not first case in country,NA
17173,short reports,exclusion, not full text article,NA
17205,we report an isolated fatal case of disseminated elizabethkingia species infection in a lung transplant recipient and review the literature of this bacterial infection in transplant recipients,exclusion, not first case in country,NA
17222,the latest consensus of indian experts12 estimated the prevalence of mdrtb to,exclusion, not first case in country,a
17222,"be 12–17% in previously treated, smear-positive pulmonary tuberculosis",exclusion, not first case in country,NA
17257,letter to the editor,exclusion, not full text article,NA
17288,correspondence,exclusion, not full text article,NA
17299,"a high percentage of isolates (73.9%) were resistant to metronidazole (mtz), with considerable resistance to clarithromycin (clr; 47.8%) and amoxicillin (aml; 54.3%) also observed. relatively few isolates were resistant to tetracycline (tet; 4.3%) or to ciprofloxacin",exclusion, not first case in country,NA
17300,among the most recent carbapenemases to appear in  the united states is the newly described new delhi mbl  (ndm) (8–12).,exclusion, not first case in country,NA
17309,"the aim of this study was to determine the presence of high-level mupirocin resistance by a new commercially available mupa genotypic diagnostic product, mupa evigene assay (advandx).",exclusion, not first case in country,NA
17315,thirty-five klebsiella spp. were isolated from 28 hospitalized patients. nineteen out of 35 klebsiella isolates were resistant to imipenem and that all of them had positive kpc. nine of imipenem resistant isolates were also resistant to all tested antibiotics.,exclusion, not first case in country,NA
17315,this study is the first report of its kind investigating the resistance to carbapenems among burns patients in iran,NA,first surveillance study (of a particular resistance) in countr,NA
17329,solation and character,exclusion, not full text article,NA
17411,frequency,exclusion,not clinical case in human patient,NA
17426,letter to the edito,exclusion, not full text article,NA
17437,"general review update on the epidemiology, diagnosis, and treatment of leprosy",exclusion,review article,NA
17441,emergence of community-associated methicillin-resistant  staphylococcus aureus strains in the neonatal intensive care  unit: an infection prevention and patient safety challenge,exclusion,review article,NA
17489,"while around the world, and even in other regions  of brazil, vre outbreaks have been especially  associated with e. faecium [5,6,7], in our city,  outbreaks have been almost exclusively related to e.  faecalis.",exclusion, not first case in country,NA
17526,introductio,exclusion,not clinical case in human patient,NA
17536,"the first case in brazil was reported only in 1998 [4] from a nine-year-old girl with aplastic anemia, who died from sepsis associated with vana enterococcus faecium.",exclusion, not first case in country,NA
17561,letters to the editor,exclusion,review article,NA
17592,letters to the editor,exclusion, not full text article,NA
1765,poster session,exclusion, not full text article,NA
17685,this report describes the epidemiological features of  the first outbreak caused by kpc3 carbapenemase-producing klebsiella pneumoniae (kpc-3-kp) in spain and  how it was effectively controlled.,exclusion, no resistance or did not name antibiotic/antibiotic,NA
17707,variant,exclusion,not clinical case in human patient,NA
1771,"to the best of our knowledge, this is the first report of the appearance of cordobes/chilean clone involved in nosocomial infection in brazil.",exclusion, not first case in country,NA
17712,"k. pneumoniae vim producers have been isolated in many countries, including greece [5], italy [6], germany [7] and spain [8,9].",exclusion, not first case in country,NA
1772,we describe the first case of a kocuria rhizophila infection in a boy with methylmalonic aciduria,exclusion, no resistance or did not name antibiotic/antibiotic,NA
17743,letters to the editor,exclusion, not full text article,NA
17764,we report two contrasting cases of successful treatment of blandm-harboring enterobacteriaceae,exclusion,review article,NA
17792,letter to the edito,exclusion, not full text article,NA
17824,european helicobacter study group,exclusion,not clinical case in human patient,NA
17828,"a new divergent meca homologue (mecc or mecalga251) (garcı´a-a´ lvarez et al., 2011; shore et al., 2011) has been recently described in a novel sccmec type xi (shore et al., 2011).",exclusion, no resistance or did not name antibiotic/antibiotic,NA
17886,"however, since the first characterization of a strain of vrsa in the united states,5,23",NA,references for follow up,a
17886,"the acquisition of high-level vancomycin resistance by s. aureus has been deemed a major clinical and epidemiologic threat. however, since the first characterization of a strain of vrsa in the united states,5,23 only a few other isolates have been reported.",exclusion, not first case in country,NA
17886,"5. weigel lm, clewell db, gill sr, et al. genetic analysis of a high-level vancomycin-resistant isolate of staphylococcus aureus. science. 2003; 302:1569–71. [pubmed: 14645850]",NA,references for follow up,a
17886,"23. chang s, sievert dm, hageman jc, et al. infection with vancomycin-resistant staphylococcus aureus containing the vana resistance gene. n engl j med. 2003; 348:1342–7. [pubmed: 12672861]",NA,references for follow up,a
17889,"the results of this study show that 76% of pvl-positive mrsa isolates recovered in ireland as part of the present investigation were ca, confirming an earlier preliminary observation that ca-mrsa is an emerging problem in ireland",exclusion, not first case in country,NA
17892,letter to the editor,exclusion, not full text article,NA
17898,this study reports the presence of the blactx-m-15 gene in salmonella spp. and salmonella enterica serotype typhi from kuwait and uae for what is believed to be the first time.,exclusion, no resistance or did not name antibiotic/antibiotic,NA
17901,"coxiella burnetii 109, with a 2.03-mb genome, is a doxycycline-resistant human isolate that was isolated from the cardiac valve of a german male patient",exclusion, not first case in country,NA
17926,"this paper presents the first documented isolation of a strictly anaerobic staphylococcus epidermidis strain, confirmed by rpob gene sequencing.",exclusion, no resistance or did not name antibiotic/antibiotic,NA
17993,enterococcus faecium,bacteria,binomial (genus species),NA
17993,mansoura university hospitals,location,hospital name,NA
17993,egypt,location,country,NA
17993,healthcare-a,exclusion,not clinical case in human patient,NA
18007,"a. xylosoxidans is most commonly found in debilitated patients exposed to contaminated fluids or medical solutions and has been isolated from moist areas in hospitals.1,4,5 as a result, it frequently is resistant to many antimicrobial agents.6",exclusion, not first case in country,NA
18007,"similar to the other reported cases, a. xylosoxidans in this case was resistant to multiple antibiotics and thus failed to respond to conventional antimicrobial therapy.",exclusion, not first case in country,NA
18052,"this case report raises multiple questions regarding the epidemiology, pathogenesis, clinical manifestations, and management of complicated s. aureus infection, including the role of novel antimicrobial agents and corticosteroids.",exclusion, not first case in country,NA
18061,this is the first description of plasmid-mediated per-1 enzyme in  enterobacteriaceae in bulgaria,exclusion, not first case in country,NA
18095,"in this study, we analyzed 118 penicillin-nonsusceptible streptococcus pneumoniae (pnsp) isolates (mics, >0.12 g/ml) recovered in poland in 2003 to 2005 from patients with respiratory tract diseases and invasive infections.",exclusion, not first case in country,NA
1817,"an early dissemination of kpc-kpn in the brazilian territory was reported by pavez et al. these  authors showed that kpc-kpn was detected in  the city of são paulo, in 2005.12",exclusion, not first case in country,NA
1817,"an early dissemination of kpc-kpn in the brazilian territory was reported by pavez et al. these  authors showed that kpc-kpn was detected in  the city of são paulo, in 2005.12",NA,references for follow up,NA
1817,"12. pavez m, neves p, dropa m et al. emergence of carbapenemresistant escherichia coli producing cmy-2-type ampc betalactamase in brazil. j med microbiol. 2008; 57(pt 12):1590-2.",NA,references for follow up,NA
1820,enterobacter cloacae,bacteria,strain,NA
1820,prikaz,exclusion,not clinical case in human patient,NA
18203,we report the ¢rst case ofweissella confusa bacteremia in an allogeneic hematopoietic stem cell transplant patient.,exclusion, not first case in country,NA
18207,"metronidazole is thought to be almost universally  effective against the species: only 1 of 1,957 b. fragilis clinical isolates collected across the united states during  2006–2009 was resistant to metronidazole (12). similarly,  previous studies have shown a prevalence of only ≈1% of  carbapenem-resistant b. fragilis(13), making this a favored  second-line treatment (7).",exclusion, not first case in country,NA
1821,"herein, we report a fatal case of necrotizing fasciitis caused by a highly virulent e. coli strain. its virulence gene complement was determined by dna microarray.",exclusion, no resistance or did not name antibiotic/antibiotic,NA
18227,23,patient,age,NA
18227,girl,patient,sex,NA
18227,chronic colonization of inquilinus limosus in a patient with cystic fibrosis: first report in spain,exclusion,not clinical case in human patient,NA
1829,observational study,exclusion,not clinical case in human patient,NA
18329,there have been reports of multidrug-resistant strains of gram-negative  bacteria being isolated from patients with endophthalmitis.4 ,exclusion, not first case in country,NA
18329,table 2 antibiotic susceptibility patterns of klebsiella pneumoniae isolate,NA,notes,NA
18358,genetically,exclusion,not clinical case in human patient,NA
18363,a year,patient,age,NA
18363,his,patient,sex,NA
18363,inhaled,exclusion, no resistance or did not name antibiotic/antibiotic,NA
18381,antimicrobial resistance pattern in a tertiary care hospital:  an observational study,exclusion, not first case in country,NA
18393,"previous studies have shown the presence of oxa-51, oxa-58, and oxa-23 carbapenemases but not oxa-24/40 in a. baumannii in turkey.",exclusion, not first case in country,NA
18398,a study was carried out in an indian teaching hospital in 2009 to detect the rate of surgical site infections  (ssi) and peripheral vascular access site infections,exclusion, no resistance or did not name antibiotic/antibiotic,NA
18401,development of ceftazidime resistance in an acute  burkholderia pseudomallei infection,exclusion,not clinical case in human patient,NA
18449,the first nosocomial outbreak of ca-mrsa among healthy newborns and postpartum mothers in canada is described.,exclusion, not first case in country,NA
1845,e´ volution de,exclusion,not clinical case in human patient,NA
1845,e´ volution de,exclusion,not clinical case in human patient,NA
18461,letters to the editor,exclusion, not full text article,NA
18508,the high prevalence of blakpc-producing k. pneumoniae causing colonization and infection among intensive care unit (icu) patients associated with significant mortality has demonstrated the importance of identification and isolation of the aetiological agent,exclusion, not first case in country,NA
1855,first detection of ctx-m-28 in a tunisian hospital from a cefotaxime-resistant klebsiella pneumoniae strain,exclusion, not first case in country,NA
1855,first detection of ctx-m-28 in a tunisian hospital from a cefotaxime-resistant klebsiella pneumoniae strain,NA,notes,NA
1857,poster abstract,exclusion, not full text article,NA
18587,study design (11,exclusion,not clinical case in human patient,NA
1859,epide´miologie,exclusion,not clinical case in human patient,NA
18726,"they are an emerging cause of health care– associated outbreaks of infection, especially among critically ill and immunocompromised patients [2, 3]",exclusion, not first case in country,NA
18733,"despite the concern generated by the worldwide spread of ndm-type carbapenemases, few cases have been detected in spain [5–8]; all have been ndm-1 and had an established origin in india",exclusion, not first case in country,NA
18777,abstract (poster session),exclusion, not full text article,NA
18777,new delhi,location,city,NA
18780,note,exclusion, not full text article,NA
18785,the aim of this study was to evaluate the antimicrobial susceptibility of 25 k. pneumoniae strains isolated in 20062007 from 22 icu patients in the dr a. jurasz university hospital in bydgoszcz. the group included the first k. pneumoniae isolates with mbl identified in poland,exclusion, not first case in country,NA
18793,to the editor,exclusion, not full text article,NA
18829,oxa-23-producing,exclusion, not full text article,NA
18832,editorial,exclusion, not full text article,NA
18842,this case highlights the alarming presence of mdr-tb involving the testis that was unknown until now.,exclusion, not first case in country,NA
18845,this is the first case report of vana vre bacteremia in a vietnamese patient and demonstrates the reemergence of vanb vre since a single outbreak occurred 15 years ago in korea.,exclusion, not first case in country,NA
18847,"to our knowledge, the present report describes the first case of  a ges-13-producing organism identified in canada.",exclusion, not first case in country,NA
18873,gonorrhoea in 21st century – international and polish situation,exclusion,review article,NA
18902,abstract,exclusion, not full text article,NA
18956,f,exclusion,not clinical case in human patient,NA
18971,"this was a descriptive cross-sectional study at a tertiary hospital in iran, using patient medical records for 2000—2003.",exclusion, not first case in country,NA
18984,detection,exclusion,not clinical case in human patient,NA
19004,enterococcus mundtii,bacteria,binomial (genus species),NA
19004,isolates,exclusion,not clinical case in human patient,NA
1907,poster presentation,exclusion, not full text article,NA
1910,neisseria gonorrhoeae,exclusion, not first case in country,NA
19103,research note,exclusion, not full text article,NA
19120,the eme,exclusion,not clinical case in human patient,NA
19121,emergence,exclusion, not first case in country,NA
19147,endogenous endophthalmitis following bacillus cereus catheter related blood stream infection,exclusion, not full text article,NA
19150,"in 2009, the first high-level ceftriaxone-resistant n. gonorrhoeae strain (h041) was isolated in kyoto, japan",NA,references for follow up,NA
19150,"in 2009, the first high-level ceftriaxone-resistant n. gonorrhoeae strain (h041) was isolated in kyoto, japan",exclusion, not first case in country,NA
19150,"ohnishi m, golparian d, shimuta k, saika t, hoshina s, iwasaku k, nakayama s, kitawaki j, unemo m. 2011. is neisseria gonorrhoeae initiating a future era of untreatable gonorrhea?: detailed characterization of the first strain with high-level resistance to ceftriaxone. antimicrob. agents chemother. 55:3538 –3545",NA,references for follow up,NA
19150,"ohnishi m, saika t, hoshina s, iwasaku k, nakayama s, watanabe h, kitawaki j. 2011. ceftriaxone-resistant neisseria gonorrhoeae, japan. emerg. infect. dis. 17:148 –149",NA,references for follow up,NA
19151,isolate,exclusion,not clinical case in human patient,NA
1917,first isolation and antimicrobial susceptibility testing of chromobacterium violaceum from oysters in mexico,exclusion,not clinical case in human patient,NA
19213,"a novel new delhi metallo--lactamase, ndm-13, was identified in a carbapenem-resistant escherichia coli clinical isolate obtained from the urine of a patient in nepal. the enzymatic activity of ndm-13 against -lactams was similar to that of ndm-1.",exclusion, not first case in country,NA
19257,interspecies transfer of blaimp-4 in a patient with prolonged colonization by imp-4-producing enterobacteriaceae,exclusion, not first case in country,NA
19323,short communication,exclusion, not full text article,NA
19328,otes from the field,exclusion, not full text article,NA
19396,poster presentation,exclusion, not full text article,NA
19404,editoria,exclusion, not full text article,NA
19416,this is the first report of etec o169:hut in southern thailand.,exclusion, not first case in country,NA
19430,"a study from delhi reported resistance  to penicillin, amikacin, ampicillin, vancomycin, ceftriaxone,  clindamycin, cefazolin, erythromycin, levofloxacin minocycline and  nitrofurantoin. such resistant strain was isolated from a catheterised  patient, but in same study strains isolated from a neonate and a  five-year-old boy showed sensitivity to levofloxacin and minocycline  [3].",NA,references for follow up,NA
19430,"a study from delhi reported resistance  to penicillin, amikacin, ampicillin, vancomycin, ceftriaxone,  clindamycin, cefazolin, erythromycin, levofloxacin minocycline and  nitrofurantoin. such resistant strain was isolated from a catheterised  patient, but in same study strains isolated from a neonate and a  five-year-old boy showed sensitivity to levofloxacin and minocycline  [3].",exclusion, not first case in country,NA
19444,treatment,exclusion, not first case in country,NA
1954,we describe a 52-year-old female patient who  developed cardiopulmonary arrest due to neuromuscular  paralysis after initiation of polymyxin b for septicemia  caused by extended spectrum β-lactamase-producing klebsiella pneumoniae,exclusion, not first case in country,NA
19575,"ncreasing rates of clostridium difficile infection (cdi) with an  unusual, severe course have been reported in several countries; this  rise has partly been ascribed to the emergence of a virulent strain,  c. difficile pcr ribotype 027 (cd027).",exclusion, not first case in country,NA
19582,this is the first description of cata2 and cata3 genes in klebsiella spp. and the first description of the erm(b) and flor genes associated with a ctx-m plasmid. this is also the first report of qnrb1 and aac(60 )-ib-cr in isolates from africa and the first report of these two genes on the same plasmid,exclusion, not first case in country,NA
1959,staphylococcus aureus,bacteria,binomial (genus species),NA
1959,camrsa,bacteria,strain,NA
1959,community-acquired methicillin-resistant  staphylococcus aureus,bacteria,strain,NA
1959,the aim of this study was to evaluate the prevalence  of pvl-positive (pvl+)-mrsa strains in western austria  in the period from december 2005 to may 2010 and to  characterize the identified pvl+-mrsa strains.,NA,article/study aim,NA
1959,"hence, the aim of the present  study was to investigate the prevalence of pvl+-mrsa  strains in western austria and to characterize them.",NA,article/study aim,NA
1959,the annual prevalence varied from 0 % in 2005 (only 1  month included in this year) to 8.3 % in 2007. during the  study period no marked trend of the prevalence of pvl+mrsa among mrsa was detectable.,exclusion, not first case in country,NA
19653,26,patient,age,NA
19653,woman,patient,sex,NA
19653,korea university guro hospital,location,hospital name,NA
19653,seoul,location,city,NA
19653,republic of korea,location,country,NA
19653,fever,patient,symptoms/disease,NA
19653,abdominal pain,patient,symptoms/disease,NA
19653,disseminated mycobacterium avium complex infection in an  immunocompetent pregnant woman,exclusion, no resistance or did not name antibiotic/antibiotic,NA
1966,letters,exclusion, not full text article,NA
1967,impact o,exclusion,not clinical case in human patient,NA
19685,these results show that the local incidence of fluoroquinolone resistance among c. jejuni is one of the highest reported worldwide.,exclusion, not first case in country,NA
19716,resistance to  linezolid has been documented in e. faecalis and e. faecium in some spanish hospitals,exclusion, not first case in country,NA
1978,letter to the editor,exclusion, not full text article,NA
19875,january 2007 through june 2008,exclusion,review article,NA
19883,in-d,exclusion,not clinical case in human patient,NA
19916,brief reports,exclusion, not full text article,NA
1992,editorial commentary,exclusion, not full text article,NA
19996,research letters,exclusion, not full text article,NA
20016,research note,exclusion, not full text article,NA
20046,new delhi metallo-beta-lactamase 1–producing  enterobacteriaceae: emergence a,exclusion,review article,NA
20086,"to the best of our knowledge, this is the first report of inchi3, a newly  assigned enterobacterial plasmid incompatibility group from india.",exclusion, not first case in country,NA
2010,to the editor,exclusion, not full text article,NA
20126,"this is the first case of a novel salmonella outbreak at this hospital, and we believe it to be the first case of an s. isangi serotype outbreak in the united states",NA,article/study aim,NA
20126,3.1. isolates and antimicrobial susceptibilities,exclusion, no resistance or did not name antibiotic/antibiotic,NA
20144,the first r,exclusion,not clinical case in human patient,NA
20146,community-ons,exclusion,not clinical case in human patient,NA
20186,this is the first description of such phenomenon in vivo and the second report of heteroresistance to  carbapenems in a. baumannii.,exclusion, no resistance or did not name antibiotic/antibiotic,NA
20197,letters,exclusion, not full text article,NA
20212,note,exclusion, not full text article,NA
20263,to the editor,exclusion, not full text article,NA
20273,first detected isolate of glycopeptide-intermediate resistant staphylococcus aureus,exclusion, no resistance or did not name antibiotic/antibiotic,NA
20333,gram-negative bacteria producing the 16s rrna methylases arma and rmtb are emerging in medical settings in vietnam,exclusion, not first case in country,NA
20335,"p-51, a novel imp-type metallo--lactamase with increased doripenemand meropenem-hydrolyzing activities, in a carbapenem-resistant pseudomonas aeruginosa clinical isolat",exclusion,not clinical case in human patient,NA
20338,to the editor,exclusion, not full text article,NA
20371,origin,exclusion,non-bacterial pathogen (e.g. viral),NA
20403,the clinical isolate reported here did not show multiple antimicrobial resistance and was colistinresistant in a patient with no history of colistin treatment.,exclusion, not first case in country,NA
20403,"while the number of reports on colistin resistance have gradually been increasing in other countries (14) and a report based on a study conducted in the united states showed that 5.3% of all acinetobacter strains detected during an eight-year period were resistant to colistin (15, 16), encounters with colistin-resistant acinetobacter species are still rare in japan.",exclusion, not first case in country,NA
20443,a total of 121 salmonella enterica serovars typhi and paratyphi a isolated from enteric fever patients at a university hospital in nepal between february 2004 and january 2006 were tested for their antimicrobial susceptibility,exclusion, not first case in country,NA
20474,clinical c,exclusion,not clinical case in human patient,NA
20506,"his study revealed for the first time that manu2 was the predominant group in the cases of mixed infections, and this might be the main reason for heteroresistance and a possible mechanism for isolates without any mutation in the rpob gene to become rifampin resistant.",exclusion, not first case in country,NA
20512,this is the first documentation of a familial mdr-tb outbreak affecting human immunodeficiency virus-seronegative patients in eastern taiwan.,exclusion, not first case in country,NA
20520,letters to the editor,exclusion, not full text article,NA
20544,"in recent years, panton-valentine leukocidin (pvl)producing strains of staphylococcus aureus have begun to  emerge in returning travelers. 2–4 ",exclusion, not first case in country,NA
20544,"in recent years, panton-valentine leukocidin (pvl)producing strains of staphylococcus aureus have begun to  emerge in returning travelers. 2–4 ",NA,references for follow up,NA
20544,"helgason ko , jones me , edwards g , 2008 . panton-valentine leukocidin-positive staphylococcus aureus and foreign travel .  j clin microbiol 46: 832 – 833",NA,references for follow up,NA
20544,"maier j , melzl h , reischl u , drubel i , witte w , lehn n , linde h ,   2005 . panton-valentine leukocidin-positive methicillin-resistant staphylococcus aureus in germany associated with travel  or foreign family origin . eur j clin microbiol infect dis 24:  637 – 639 .",NA,references for follow up,NA
20544,"schleucher rd , gaessler m , knobloch j , 2008 . panton-valentine  leukocidin-producing methicillin-sensitive staphylococcus  aureus as a cause for recurrent, contagious skin infections in  young, healthy travelers returned from a tropical country: a new  worldwide public health problem? j travel med 15: 137 – 139",NA,references for follow up,NA
20588,complex,exclusion,not clinical case in human patient,NA
20588,complex,exclusion,not clinical case in human patient,NA
20588,ramo´ n y cajal university hospital,location,hospital name,NA
20588,ramo´ n y cajal university hospital,location,hospital name,NA
20588,madrid,location,state/province/district,NA
20588,madrid,location,state/province/district,NA
20588,spain,location,country,NA
20588,spain,location,country,NA
20590,epidemiological,exclusion,not clinical case in human patient,NA
2061,antimicrobial susceptibility was performed on mueller-hinton agar plates by the standard kirbyebauer disk diffusion method as per the clinical and laboratory standards institute (clsi) guidelines 2014. the isolate was found to be resistant to all antibiotics tested,exclusion, no resistance or did not name antibiotic/antibiotic,NA
20626,prevention and control of carbapenemase-producing organisms at a regional burns centre,exclusion, not first case in country,NA
